OPEN_TIME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TRADE_VOLUME,CLOSE_TIME,QUOTE_ASSET_VOLUME,TRADE_COUNT,TAKER_BUY_BASE,TAKER_BUY_QUOTE,IGNORE,SYMBOL,PATTERN,MATCH_COUNT,PATTERN_RANK,PATTERN_SCORE,CURRENT_TREND,MAX_PUMP,MAX_DUMP,ETP
2021-02-20,47.971,50.303,47.516,49.768,634537.22,2021-02-20 23:59:59.999,31201342.08086,76318,298251.41,14669284.85788,0,NEOUSDT,NO_PATTERN,0.0,,,103.7460132163182,104.86127035083696,99.05151028746535,1
2021-02-20,7.298,7.444,7.075,7.361,1554168.0,2021-02-20 23:59:59.999,11301347.9893,35583,695578.5,5064475.2653,0,QTUMUSDT,NO_PATTERN,0.0,,,100.86325020553576,102.0005480953686,96.94436832008769,1
2021-02-20,0.043654,0.044399,0.040862,0.044347,565531759,2021-02-20 23:59:59.999,24291689.178886,60026,260734575,11220169.971796,0,IOSTUSDT,NO_PATTERN,0.0,,,101.58748339212902,101.70660191505934,93.60425161497228,1
2021-02-20,3.7225,3.8466,3.6751,3.8145,3057157.1,2021-02-20 23:59:59.999,11559406.09045,49016,1428311.8,5403128.17371,0,THETAUSDT,NO_PATTERN,0.0,,,102.4714573539288,103.33378106111483,98.72666218938885,1
2021-02-20,1.3775,1.3982,1.3308,1.38,19430470.4,2021-02-20 23:59:59.999,26462974.42697,81092,8647803.5,11786467.77022,0,ALGOUSDT,NO_PATTERN,0.0,,,100.18148820326678,101.50272232304903,96.6098003629764,1
2021-02-20,0.14958,0.15441,0.14166,0.15076,189253473,2021-02-20 23:59:59.999,27782281.50258,102673,89229778,13104675.44980,0,ZILUSDT,NO_PATTERN,0.0,,,100.78887551811742,103.22904131568392,94.705174488568,1
2021-02-20,2.19399,2.26765,2.12225,2.25652,4133804,2021-02-20 23:59:59.999,9074902.90645,35548,1981123,4353578.44877,0,KNCUSDT,NO_PATTERN,0.0,,,102.85005856909102,103.35735349750912,96.73015829607246,1
2021-02-20,1.5672,1.6594,1.5183,1.6568,8981513.8,2021-02-20 23:59:59.999,14228967.00276,53948,4420586.8,7010923.91188,0,ZRXUSDT,NO_PATTERN,0.0,,,105.71720265441553,105.88310362429812,96.87978560490046,1
2021-02-20,452.67,479.03,435.92,470.7,26062.732,2021-02-20 23:59:59.999,11843806.09788,40332,12636.037,5754826.88951,0,COMPUSDT,NO_PATTERN,0.0,,,103.98303399827688,105.82322663308813,96.29973269710827,1
2021-02-20,6.5537,6.8061,6.4001,6.734,2586578.8,2021-02-20 23:59:59.999,17065190.50806,60705,1230890.9,8130552.37213,0,OMGUSDT,CDLHIKKAKE_Bull,1.0,85.0,200.0,102.75111768924423,103.85125959381722,97.65628576224118,1
