OPEN_TIME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TRADE_VOLUME,CLOSE_TIME,QUOTE_ASSET_VOLUME,TRADE_COUNT,TAKER_BUY_BASE,TAKER_BUY_QUOTE,IGNORE,SYMBOL,PATTERN,MATCH_COUNT,CURRENT_TREND,MAX_PUMP,MAX_DUMP,ETP,PATTERN_RANK,PATTERN_SCORE
2021-02-20,55906.0,56609.14,55322.0,55815.1,20969.03794600,2021-02-20 23:59:59.999,1174249447.67199704,680125,10447.85548400,585138926.79230224,0,BTCUSDT,NO_PATTERN,0.0,99.83740564519013,101.25771831288233,98.95538940364183,3,,
2021-02-20,1955.46,2042.34,1922.51,2022.14,398315.54193000,2021-02-20 23:59:59.999,791589301.08942220,355582,211465.53873000,420905762.98244190,0,ETHUSDT,NO_PATTERN,0.0,103.40993934930911,104.4429443711454,98.31497448170762,3,,
2021-02-20,333.2212,335.0,269.1401,302.7523,4647367.60400000,2021-02-20 23:59:59.999,1385496521.95005680,1327599,2268933.41700000,676711616.02101760,0,BNBUSDT,NO_PATTERN,0.0,90.85625404386035,100.53381957690566,80.76920075913537,1,,
2021-02-20,47.824,49.892,47.41,49.516,559291.08700000,2021-02-20 23:59:59.999,27353052.81622100,41804,277228.00400000,13569584.16191400,0,NEOUSDT,NO_PATTERN,0.0,103.53797256607562,104.3241886918702,99.13432586149213,1,,
2021-02-20,236.45,247.04,230.61,242.73,470313.94503000,2021-02-20 23:59:59.999,113183948.98911950,228101,248734.39698000,59899401.87305650,0,LTCUSDT,NO_PATTERN,0.0,102.65595263269189,104.47874814971453,97.53013322055403,3,,
2021-02-20,7.267,7.391,7.064,7.317,1301627.75900000,2021-02-20 23:59:59.999,9424070.55295900,20525,628897.13600000,4553172.00579400,0,QTUMUSDT,NO_PATTERN,0.0,100.68804183294344,101.70634374569974,97.20655015824961,1,,
2021-02-20,0.92597,1.1,0.91329,1.06241,536253481.49000000,2021-02-20 23:59:59.999,554324167.91574320,511518,280630570.49000000,289775312.87939720,0,ADAUSDT,NO_PATTERN,0.0,114.73481862263357,118.79434538915949,98.63062518224133,1,,
2021-02-20,0.56478,0.58235,0.555,0.5745,291349481.00000000,2021-02-20 23:59:59.999,164665108.09475600,158092,142989764.10000000,80847904.28147000,0,XRPUSDT,NO_PATTERN,0.0,101.72102411558484,103.1109458550232,98.26835227876343,3,,
2021-02-20,5.2265,5.4545,5.1311,5.3905,13913436.83000000,2021-02-20 23:59:59.999,74096307.98325100,107091,6941707.56000000,36982594.50985700,0,EOSUSDT,NO_PATTERN,0.0,103.13785516119776,104.36238400459199,98.17468669281546,3,,
2021-02-20,0.9997,1.0206,0.9993,0.9996,5748783.01000000,2021-02-20 23:59:59.999,5748718.23885600,8181,3707132.79000000,3707720.05983600,0,TUSDUSDT,CDLMATCHINGLOW_Bull,1.0,99.98999699909973,102.09062718815645,99.95998799639891,1,7.0,100.0
2021-02-20,1.4872,1.5348,1.4426,1.51,10211661.17000000,2021-02-20 23:59:59.999,15193441.01813900,35231,5092836.18000000,7580041.72353100,0,IOTAUSDT,NO_PATTERN,0.0,101.53308230231306,103.2006455083378,97.0010758472297,1,,
